location,count,proportion
HUP/PCAM/Presby/Pennsy,40,0.3225806451612903
Other,18,0.14516129032258066
Thomas Jefferson University Hospital,14,0.11290322580645161
N/A,13,0.10483870967741936
Main Line Health,9,0.07258064516129033
Tower Health,5,0.04032258064516129
Penn Doylestown,3,0.024193548387096774
St. Luke's University Health Network,3,0.024193548387096774
Temple Health,1,0.008064516129032258
Other Larchmont Imaging,1,0.008064516129032258
Geisinger and Other,1,0.008064516129032258
Other (AMI),1,0.008064516129032258
Thomas Jefferson University Hospital and Main Line Health,1,0.008064516129032258
Other Crozer,1,0.008064516129032258
Other St. Christopher's Hospital,1,0.008064516129032258
Lehigh Valley Health Network,1,0.008064516129032258
Other - Upper Dublin MRI,1,0.008064516129032258
Penn Princeton,1,0.008064516129032258
Other - unknown,1,0.008064516129032258
Other (Doylestown),1,0.008064516129032258
Other Yale,1,0.008064516129032258
Other SJRA,1,0.008064516129032258
Other NYU,1,0.008064516129032258
Other (Chester County Hospital),1,0.008064516129032258
Virtua Health,1,0.008064516129032258
Other Trinity Health,1,0.008064516129032258
