location,count,proportion
HUP/PCAM/Presby/Pennsy,41,0.2808219178082192
Other,25,0.17123287671232876
Thomas Jefferson University Hospital,19,0.13013698630136986
N/A,14,0.0958904109589041
Main Line Health,10,0.0684931506849315
Tower Health,5,0.03424657534246575
Temple Health,4,0.0273972602739726
Penn Doylestown,4,0.0273972602739726
St. Luke's University Health Network,3,0.02054794520547945
Virtua Health,2,0.0136986301369863
Geisinger and Other,1,0.00684931506849315
Other Larchmont Imaging,1,0.00684931506849315
Lehigh Valley Health Network,1,0.00684931506849315
Other (AMI),1,0.00684931506849315
Thomas Jefferson University Hospital and Main Line Health,1,0.00684931506849315
Other Crozer,1,0.00684931506849315
"Other Christiana, Willmington Delaware",1,0.00684931506849315
Other Trinity Health,1,0.00684931506849315
Other (Doylestown),1,0.00684931506849315
Other St. Christopher's Hospital,1,0.00684931506849315
Penn Princeton,1,0.00684931506849315
Other - unknown,1,0.00684931506849315
Other - Upper Dublin MRI,1,0.00684931506849315
Other Yale,1,0.00684931506849315
Other SJRA,1,0.00684931506849315
Other NYU,1,0.00684931506849315
Other (Chester County Hospital),1,0.00684931506849315
Other Phoenixville,1,0.00684931506849315
